Scheme Name,Description,Required Documents,Eligible Gender,Age,Annual Income,Educational Qualification,Beneficiary Amount,Central/State,Official Portal Link
PM Kisan Samman Nidhi,Income support to small and marginal farmer families.,"Aadhaar Card, Land Records, Bank Passbook",All,Any age (land owner),No limit for small/marginal farmers,Not required,"Rs 6,000 per year in 3 installments",Central,https://pmkisan.gov.in
Ayushman Bharat - PMJAY,Health insurance cover for poor and vulnerable families for secondary and tertiary care hospitalization.,"Aadhaar Card, Ration Card, SECC Database Proof",All,No age limit,As per SECC 2011 deprivation criteria,Not required,"Rs 5,00,000 per family per year",Central,https://pmjay.gov.in
Pradhan Mantri Awas Yojana - Urban,Financial assistance for construction/purchase of house for urban poor.,"Aadhaar Card, Income Certificate, Property Documents",All,18+,Up to Rs 18 lakh (based on category),Not required,"Up to Rs 2,67,000 subsidy",Central,https://pmaymis.gov.in
Pradhan Mantri Awas Yojana - Gramin,Financial assistance to rural households for pucca house construction.,"Aadhaar Card, Job Card, Bank Passbook",All,18+,BPL / SECC criteria,Not required,"Rs 1,20,000 (plain area) / Rs 1,30,000 (hilly)",Central,https://pmayg.nic.in
Pradhan Mantri Ujjwala Yojana,Free LPG connections to women from BPL households.,"Aadhaar Card, BPL Ration Card, Bank Passbook",Female,18+,BPL category,Not required,Free LPG connection with first refill,Central,https://pmuy.gov.in
Pradhan Mantri Jan Dhan Yojana,Universal access to banking facilities with zero balance account.,"Aadhaar Card, Address Proof",All,10+,No limit,Not required,"Rs 10,000 overdraft facility, Rs 2 lakh accident cover",Central,https://pmjdy.gov.in
Pradhan Mantri Suraksha Bima Yojana,Accidental death and disability insurance scheme.,"Aadhaar Card, Bank Account",All,18-70,No limit,Not required,"Rs 2,00,000 on accidental death",Central,https://jansuraksha.gov.in
Pradhan Mantri Jeevan Jyoti Bima Yojana,Life insurance scheme offering renewable one-year cover.,"Aadhaar Card, Bank Account",All,18-50,No limit,Not required,"Rs 2,00,000 on death",Central,https://jansuraksha.gov.in
Atal Pension Yojana,Pension scheme for unorganized sector workers.,"Aadhaar Card, Bank Account",All,18-40,No limit,Not required,"Rs 1,000-5,000 monthly pension",Central,https://npscra.nsdl.co.in
Sukanya Samriddhi Yojana,Small savings scheme for girl child's education and marriage.,"Birth Certificate, Aadhaar Card of guardian",Female,0-10,No limit,Not required,Interest linked maturity amount,Central,https://www.nsiindia.gov.in
Beti Bachao Beti Padhao,Scheme to prevent gender-biased sex selection and promote girl child education.,"Birth Certificate, Aadhaar Card",Female,0-18,No limit,Not required,Awareness and incentive based support,Central,https://wcd.nic.in
Pradhan Mantri Mudra Yojana,Collateral-free loans to micro and small enterprises.,"Aadhaar Card, Business Plan, Bank Details",All,18+,No limit,Not required,Loan up to Rs 10 lakh,Central,https://www.mudra.org.in
Stand Up India Scheme,Bank loans for SC/ST and women entrepreneurs for greenfield enterprises.,"Aadhaar Card, Caste Certificate, Business Plan",All,18+,No limit,Not required,Loan Rs 10 lakh to Rs 1 crore,Central,https://www.standupmitra.in
Startup India Seed Fund Scheme,Financial assistance to startups for proof of concept and commercialization.,"Aadhaar Card, Company Registration, Business Plan",All,18+,No limit,Not required,Up to Rs 20 lakh grant / Rs 50 lakh debt,Central,https://www.startupindia.gov.in
Mahatma Gandhi NREGA,Guaranteed 100 days wage employment to rural households.,"Job Card, Aadhaar Card",All,18+,No limit,Not required,Wage as per state rates for 100 days,Central,https://nrega.nic.in
Pradhan Mantri Fasal Bima Yojana,Crop insurance scheme for farmers against crop loss.,"Aadhaar Card, Land Records, Bank Passbook",All,18+,No limit,Not required,Insurance claim as per crop loss assessment,Central,https://pmfby.gov.in
Kisan Credit Card Scheme,Short term credit facility for farmers for agricultural needs.,"Aadhaar Card, Land Records",All,18+,No limit,Not required,Credit limit as per land holding,Central,https://www.pmkisan.gov.in
Soil Health Card Scheme,Provides soil nutrient status and fertilizer recommendation to farmers.,"Aadhaar Card, Land Records",All,18+,No limit,Not required,Free soil testing and advisory,Central,https://soilhealth.dac.gov.in
PM Kisan Maandhan Yojana,Pension scheme for small and marginal farmers.,"Aadhaar Card, Land Records, Bank Account",All,18-40,No limit for small/marginal farmers,Not required,"Rs 3,000 monthly pension after 60 years",Central,https://maandhan.in
Pradhan Mantri Matru Vandana Yojana,Cash incentive for pregnant and lactating women for first live birth.,"Aadhaar Card, MCP Card, Bank Account",Female,19+,No limit,Not required,"Rs 5,000 in installments",Central,https://pmmvy.wcd.gov.in
Janani Suraksha Yojana,Cash assistance to pregnant women for institutional delivery.,"Aadhaar Card, JSY Card",Female,19+,BPL priority,Not required,"Rs 700-1,400 depending on area",Central,https://nhm.gov.in
Pradhan Mantri Vaya Vandana Yojana,Pension scheme for senior citizens with guaranteed returns.,"Aadhaar Card, Age Proof, Bank Account",All,60+,No limit,Not required,Guaranteed pension based on investment,Central,https://www.licindia.in
National Pension System,Voluntary defined contribution pension scheme.,"Aadhaar Card, PAN Card, Bank Account",All,18-70,No limit,Not required,Market linked pension corpus,Central,https://www.npscra.nsdl.co.in
Pradhan Mantri Gram Sadak Yojana,Provides all-weather road connectivity to unconnected rural habitations.,Village Records,All,Not applicable,Not applicable,Not applicable,Road infrastructure development,Central,https://pmgsy.nic.in
Deendayal Antyodaya Yojana - NRLM,Promotes self-employment through Self Help Groups in rural areas.,"Aadhaar Card, BPL Certificate",All,18+,BPL category,Not required,Bank linkage and revolving fund support,Central,https://aajeevika.gov.in
Pradhan Mantri Kaushal Vikas Yojana,Skill training and certification for youth employability.,"Aadhaar Card, Educational Certificate",All,15-45,No limit,Class 8 pass preferred,Free skill training with stipend,Central,https://www.pmkvyofficial.org
National Apprenticeship Promotion Scheme,Promotes apprenticeship training with financial support to employers.,"Aadhaar Card, Educational Certificate",All,14+,No limit,Class 5 pass,Stipend as per apprenticeship norms,Central,https://apprenticeshipindia.gov.in
Skill India Mission,Umbrella scheme to provide skill training to Indian youth.,"Aadhaar Card, Educational Certificate",All,15-45,No limit,Not required,Certification and placement support,Central,https://www.skillindia.gov.in
Digital India Land Records Modernisation,Digitization and modernization of land records across India.,Land Records,All,Not applicable,Not applicable,Not applicable,Digitized land record access,Central,https://digitalindia.gov.in
Swachh Bharat Mission - Gramin,Provides financial assistance for construction of household toilets.,"Aadhaar Card, BPL Certificate",All,18+,No limit,Not required,"Rs 12,000 incentive per toilet",Central,https://swachhbharatmission.gov.in
Namami Gange Programme,Integrated conservation mission for river Ganga rejuvenation.,Not applicable,All,Not applicable,Not applicable,Not applicable,Infrastructure and afforestation support,Central,https://nmcg.nic.in
Saubhagya Scheme,Provides free electricity connections to un-electrified households.,"Aadhaar Card, Address Proof",All,18+,BPL priority,Not required,Free electricity connection,Central,https://saubhagya.gov.in
Pradhan Mantri Garib Kalyan Anna Yojana,Free additional foodgrains to poor families during crisis period.,"Ration Card, Aadhaar Card",All,Any age,BPL/AAY category,Not required,5 kg free foodgrain per person per month,Central,https://dfpd.gov.in
One Nation One Ration Card,Portability of ration card benefits across states.,"Ration Card, Aadhaar Card",All,Any age,BPL/priority household,Not required,Continued foodgrain subsidy across India,Central,https://nfsa.gov.in
Integrated Child Development Services,"Provides nutrition, health check-up and pre-school education to children.",Aadhaar Card of guardian,All,0-6,No limit,Not required,Supplementary nutrition and health services,Central,https://icds-wcd.nic.in
PM Poshan (Mid Day Meal Scheme),Provides free hot cooked meals to school children.,School Enrollment Proof,All,6-14,No limit,Enrolled in school,Free daily nutritious meal,Central,https://pmposhan.education.gov.in
Samagra Shiksha Abhiyan,Integrated scheme for school education from pre-school to senior secondary.,"Aadhaar Card, School Enrollment",All,6-18,No limit,Enrolled in school,Free education support and infrastructure,Central,https://samagra.education.gov.in
National Means cum Merit Scholarship,Scholarship to meritorious students of economically weaker sections.,"Aadhaar Card, Income Certificate, Mark Sheet",All,13-16,"Up to Rs 1,50,000",Class 8 pass,"Rs 12,000 per year",Central,https://scholarships.gov.in
Central Sector Scheme of Scholarship,Scholarship for college and university students with merit.,"Aadhaar Card, Income Certificate, Mark Sheet",All,18-25,"Up to Rs 4,50,000",Class 12 pass with 80 percentile,"Rs 10,000-20,000 per year",Central,https://scholarships.gov.in
Post Matric Scholarship for OBC Students,Financial assistance to OBC students for post matriculation studies.,"Aadhaar Card, Caste Certificate, Income Certificate",All,Any age,"Up to Rs 1,00,000",Class 10 pass,As per course fee and maintenance allowance,Central,https://scholarships.gov.in
Pre Matric Scholarship for Minorities,Scholarship to minority community students studying in classes 1-10.,"Aadhaar Card, Minority Certificate, Income Certificate",All,6-16,"Up to Rs 1,00,000",Enrolled in class 1-10,"Rs 1,000-7,000 per year",Central,https://scholarships.gov.in
Maulana Azad National Fellowship,Fellowship for minority students pursuing M.Phil and PhD.,"Aadhaar Card, Minority Certificate",All,Any age,No limit,M.Phil/PhD enrolled,Fellowship as per UGC norms,Central,https://maef.nic.in
AICTE Pragati Scholarship for Girls,Scholarship for girl students pursuing technical education.,"Aadhaar Card, Income Certificate, Admission Proof",Female,Any age,"Up to Rs 8,00,000",Enrolled in technical diploma/degree,"Rs 50,000 per year",Central,https://www.aicte-pragati-saksham-gov.in
AICTE Saksham Scholarship for Disabled,Scholarship for differently-abled students in technical education.,"Aadhaar Card, Disability Certificate",All,Any age,"Up to Rs 8,00,000",Enrolled in technical diploma/degree,"Rs 50,000 per year",Central,https://www.aicte-pragati-saksham-gov.in
Deendayal Disabled Rehabilitation Scheme,Financial support to NGOs for rehabilitation of persons with disabilities.,"Disability Certificate, Aadhaar Card",All,Any age,No limit,Not required,Grant-in-aid for rehabilitation services,Central,https://disabilityaffairs.gov.in
Accessible India Campaign,Creates universal accessibility for persons with disabilities.,Disability Certificate,All,Any age,No limit,Not required,Infrastructure accessibility support,Central,https://accessibleindia.gov.in
Indira Gandhi National Old Age Pension Scheme,Monthly pension to elderly persons living below poverty line.,"Aadhaar Card, Age Proof, BPL Certificate",All,60+,BPL category,Not required,Rs 200-500 per month,Central,https://nsap.nic.in
Indira Gandhi National Widow Pension Scheme,Monthly pension to widows living below poverty line.,"Aadhaar Card, Death Certificate of spouse, BPL Certificate",Female,40-79,BPL category,Not required,Rs 300 per month,Central,https://nsap.nic.in
Indira Gandhi National Disability Pension Scheme,Monthly pension to severely disabled persons below poverty line.,"Aadhaar Card, Disability Certificate, BPL Certificate",All,18-79,BPL category,Not required,Rs 300-500 per month,Central,https://nsap.nic.in
National Family Benefit Scheme,One-time financial assistance to family on death of breadwinner.,"Aadhaar Card, Death Certificate, BPL Certificate",All,18-59,BPL category,Not required,"Rs 20,000 lump sum",Central,https://nsap.nic.in
Annapurna Scheme,Provides food grains to senior citizens not covered under pension scheme.,"Aadhaar Card, Age Proof",All,65+,BPL category,Not required,10 kg free foodgrain per month,Central,https://nsap.nic.in
Pradhan Mantri Van Dhan Yojana,Value addition and marketing support for tribal forest produce.,"Aadhaar Card, Tribal Certificate",All,18+,No limit,Not required,Livelihood and market linkage support,Central,https://trifed.tribal.gov.in
Eklavya Model Residential Schools Scheme,Residential schools for tribal students for quality education.,"Aadhaar Card, Tribal Certificate",All,10-18,No limit,Enrolled in school,Free residential education,Central,https://tribal.nic.in
Dr Ambedkar Post Matric Scholarship for SC,Financial assistance to SC students for post matric education.,"Aadhaar Card, Caste Certificate, Income Certificate",All,Any age,"Up to Rs 2,50,000",Class 10 pass,As per course fee and maintenance allowance,Central,https://scholarships.gov.in
Pre Matric Scholarship for SC Students,Scholarship for SC students studying in classes 9 and 10.,"Aadhaar Card, Caste Certificate, Income Certificate",All,13-16,"Up to Rs 2,50,000",Enrolled in class 9-10,"Rs 3,500-4,500 per year",Central,https://scholarships.gov.in
National Overseas Scholarship for SC,Financial assistance to SC students for study abroad.,"Aadhaar Card, Caste Certificate, Admission Letter",All,35 and below,"Up to Rs 8,00,000",Admission to foreign university,Full tuition and maintenance allowance,Central,https://scholarships.gov.in
National Safai Karamcharis Finance Scheme,Financial assistance for self-employment to safai karamcharis.,"Aadhaar Card, Occupation Certificate",All,18+,No limit,Not required,Concessional loan for self employment,Central,https://nsfdc.nic.in
Self Employment Scheme for Manual Scavengers,Rehabilitation and self-employment support for manual scavengers.,"Aadhaar Card, Occupation Certificate",All,18+,No limit,Not required,Cash assistance and skill training,Central,https://sje.gov.in
Pradhan Mantri Jan Vikas Karyakram,Infrastructure development in minority concentration areas.,Not applicable,All,Not applicable,Not applicable,Not applicable,Infrastructure and welfare projects,Central,https://minorityaffairs.gov.in
Nai Roshni Scheme,Leadership development training for minority women.,"Aadhaar Card, Minority Certificate",Female,18+,No limit,Not required,Free leadership training,Central,https://minorityaffairs.gov.in
Nai Manzil Scheme,Education and skill training for minority youth.,"Aadhaar Card, Minority Certificate",All,17-35,No limit,School dropout eligible,Free training with stipend,Central,https://minorityaffairs.gov.in
USTTAD Scheme,Upgrades traditional skills and trades of minority artisans.,"Aadhaar Card, Minority Certificate",All,18+,No limit,Not required,Skill upgradation support,Central,https://minorityaffairs.gov.in
Padho Pardesh Scheme,Interest subsidy on education loans for minority students abroad.,"Aadhaar Card, Minority Certificate, Loan Documents",All,Any age,"Up to Rs 6,00,000",Admission to foreign university,Interest subsidy on education loan,Central,https://minorityaffairs.gov.in
Mahila Shakti Kendra Scheme,Community engagement for women empowerment at grassroot level.,Aadhaar Card,Female,18+,No limit,Not required,Skill development and awareness support,Central,https://wcd.nic.in
Support to Training and Employment Programme for Women,Skill training and employment support for women.,Aadhaar Card,Female,16+,No limit,Not required,Free skill training and credit linkage,Central,https://wcd.nic.in
Working Women Hostel Scheme,Safe accommodation for working women away from home.,"Aadhaar Card, Employment Proof",Female,18+,No limit,Not required,Subsidized hostel accommodation,Central,https://wcd.nic.in
One Stop Centre Scheme (Sakhi),Support services for women affected by violence.,Aadhaar Card,Female,Any age,No limit,Not required,"Medical, legal and counselling support",Central,https://wcd.nic.in
Swadhar Greh Scheme,Rehabilitation of women in difficult circumstances.,Aadhaar Card,Female,18+,No limit,Not required,"Shelter, food and vocational training",Central,https://wcd.nic.in
Deendayal Antyodaya Yojana - NULM,Urban livelihood mission for urban poor self-employment.,"Aadhaar Card, BPL Certificate",All,18+,BPL category,Not required,Bank linkage and skill training support,Central,https://nulm.gov.in
PM SVANidhi Scheme,Micro credit facility for street vendors.,"Aadhaar Card, Vendor Certificate",All,18+,No limit,Not required,"Loan up to Rs 50,000 in tranches",Central,https://pmsvanidhi.mohua.gov.in
Atmanirbhar Bharat Rojgar Yojana,Incentivizes employers for creating new employment.,"Aadhaar Card, EPFO Registration",All,18+,No limit,Not required,EPF contribution support by government,Central,https://labour.gov.in
National Career Service Scheme,Online portal connecting job seekers with employers.,"Aadhaar Card, Educational Certificate",All,18+,No limit,Not required,Free job matching and career guidance,Central,https://www.ncs.gov.in
Prime Minister Employment Generation Programme,Credit linked subsidy for setting up micro enterprises.,"Aadhaar Card, Project Report",All,18+,No limit,Class 8 pass for above Rs 10 lakh projects,15-35 percent subsidy on project cost,Central,https://www.kviconline.gov.in/pmegp
ASPIRE Scheme,Promotes innovation and rural entrepreneurship in MSME sector.,"Aadhaar Card, Business Plan",All,18+,No limit,Not required,Grant support for incubation centers,Central,https://msme.gov.in
Rajiv Gandhi Udyami Mitra Yojana,Handholding support to first generation entrepreneurs.,"Aadhaar Card, Business Plan",All,18+,No limit,Not required,Handholding support and financial assistance,Central,https://msme.gov.in
Credit Guarantee Fund Scheme for Micro and Small Enterprises,Collateral free credit guarantee to micro and small enterprises.,"Aadhaar Card, Business Registration",All,18+,No limit,Not required,Collateral free loan up to Rs 2 crore,Central,https://www.cgtmse.in
Ayushman Bharat Digital Mission,Creates digital health ID and records for citizens.,Aadhaar Card,All,Any age,No limit,Not required,Free digital health ID and records,Central,https://abdm.gov.in
Rashtriya Vayoshri Yojana,Provides aids and assistive living devices to senior citizens.,"Aadhaar Card, BPL Certificate, Age Proof",All,60+,BPL category,Not required,Free assistive devices,Central,https://vayoshri.gov.in
National Fellowship for Higher Education of ST Students,Fellowship for ST students pursuing M.Phil and PhD.,"Aadhaar Card, Tribal Certificate",All,Any age,No limit,M.Phil/PhD enrolled,Fellowship as per UGC norms,Central,https://tribal.nic.in
